Tweets,Sentiment Score,Clasifier,Result
100 million europeans killed in the 1900s alone is a perfect example of how peaceful and tolerant europeans can be when they want to,0.260986368,pos,Negative
1400 shocking years of islam in 5 minutes - muslims are scared of this  via youtube,,,
"17 yr old hindu still in jail for an fb post we fearmongered abt hindu pak and turned this into muslim pakistan congrats to all liberals 
 ; Bollywood TV finance consultants 
 ; Bollywood TV finance consultants 
 ; Bollywood TV finance consultants 
 ; Bollywood TV finance consultants",0.714523293,neg,Negative
1921 muslim league marad madani terror nursery isis communist dhimmi wt hindu names sing religious tolerance of kerala,,,
"1966 saudi paper called egypt execution of leading member of muslim brotherhood sayyid qutb as act of terrorism now calls mb terrorist 
 ; PhD student in computer science",0.945310056,neg,Negative
"1bowman5 itzmevictoria arthurcarling nicestitch theresamcmeekin nickser1972 angel__stella fenbeagle phil0bed0 utterances01 is dave a muslim name 
 ; Its easy to believe what you are told but better to question investigate and form your own opinions",,,
"1hindu teen is in jail for fb post2elderly hindu man lynched to death by muslim mob3cm playing blame game4jihadists playing victim 
 ; male 
 ; male 
 ; male 
 ; male 
 ; male 
 ; male 
 ; male 
 ; male 
 ; male 
 ; male",0.99717412,neg,Negative
2 hana tajima- fashion designer from london- converted to islam when she was 17- mix of japanese dad amp english mom- pure beauty,,,
"2 peas in a pod 
 ; Part time FSB go between  Cobra Kai AltRight httpsgabaiadmcod 
 ; Part time FSB go between  Cobra Kai AltRight httpsgabaiadmcod 
 ; Part time FSB go between  Cobra Kai AltRight httpsgabaiadmcod",0.654887797,neg,Negative
"2016 why islam is peaceful 2017 why jihad is a good word2018 the cheapest way to hang your gay neighbour 
 ; ENGESP",,,
21st century islam is working run hide tell holidaymakers urged to watch terror attack film,0.782744875,pos,Negative
"2584 the prophet said true wealth is not having an abundance of possessions true wealth is having a content heart bukhari muslim 
 ; Never play your full hand at once",,,
2tweetaboutit mailonline the lesson she learned was that british people can be taken for a ride and she has a few million other immigrants for company,0.960675225,neg,Negative
3 or 4 officers to search one person the woman who reported him is ridiculous yikes uk,,,
300000 british nationals living in spain vs 130000 spanish nationals living here blaady immigrants jussayin brexitfacts,0.844522196,pos,Negative
355000 pensioners in sweden living under eu poverty line - yet politicians plan to bring in another 500000 immigrants next few yearssvpol,,,
3gatordad washingtonpost postopinions secretservice again try doing some research maybe actually talk to a muslim or two ok until then wheres ur brown shirt amp ss symbol,0.522210687,neg,Positive
3lectric5heep cockroachhlinda stirs up violence amp hatred typical muslim dog,,,
3lectric5heep prestrump for our childrens sake deport this islamic activist today  linda sarsour must go back to her muslim country,0.051533293,pos,Negative
4 dating whos that never heard of her the only thing im committed to is practicing islam alhamdulilah,,,
40 yrs ago houses displayed messages like no irish no blacks the same style of messages today read muslims only or no whites wow,0.715850021,neg,Negative
"4in other words the stereotype of japan as a closed country that takes no immigrants is no longer accurate 
 ; Wherein I am mean to people who deserve itFF science politics economics humancivil rights and Ultimatejustanothermonkey",,,
567 per cent of residents in el raval were born abroad this will destroy spain,0.982280288,pos,Negative
6- the muslim police force are on the case but i doubt that since the incident happened in christmas 2014 and nothing happened since,,,
69mib cpcm66 realdealdanny so youre saying islamic extremism sounds nicer than anti muslim,0.944329789,neg,Negative
69mib dont they always - the history of humans -always opening pandoras box what makes this more dangerous is population immigration amp islam,,,
8th jul 2017 was the 10th shahadat anniversary of lt col haroon-ul-islam shaheed brave son of soillest we forget,0.615992851,neg,Positive
93_tillinfinity all muslim scholars accept that imam hussain as is the king if the youth of paradise logically the land he as is resting in is jannah,,,
"____ aur main notinmyname bol raha hoon hindumuslim sikhchristian jain buddhist jew amp event atheist r my children 
 ; Observer AAP  Secretary - Social Media Western Maharashtra  Ex Campaign Mgr - BenaulimGOA  Analyst- Stock Mkt  RTs not endorsements ",0.952199869,neg,Negative
